LD1, LD2,class
-3.23296,0.38216,0.0
-3.96523,-1.40012,0.0
-5.00763,-0.19254,0.0
-4.41318,-1.09868,0.0
0.35423,1.71123,0.0
0.02201,2.47637,0.0
-1.39352,1.31503,0.0
-1.54179,1.53429,0.0
-0.37881,3.06054,0.0
-2.315,4.82857,0.0
-1.64757,3.77811,0.0
-1.52206,3.01397,0.0
-1.36617,4.68176,0.0
-1.70975,3.97794,0.0
-1.63587,4.59781,0.0
-2.00919,4.519,0.0
-1.97053,4.76464,0.0
-2.96833,4.2504,0.0
-2.33251,5.38051,0.0
-2.07984,5.00866,0.0
-3.62738,4.51013,0.0
-4.18372,2.79107,0.0
-3.35683,2.84011,0.0
-2.58293,1.88091,0.0
-2.59976,4.7602,0.0
-2.44538,2.34391,0.0
-2.04469,1.69726,0.0
-1.7946,0.78376,0.0
-1.55846,0.29072,0.0
-1.83359,0.34753,0.0
-1.47156,0.26866,0.0
-1.76824,0.9303,0.0
-2.01762,0.93125,0.0
-0.89771,3.8101,0.0
0.54135,2.13731,0.0
-0.2597,3.50765,0.0
-0.15988,4.29917,0.0
1.17837,3.59108,0.0
0.59046,3.81295,0.0
0.30694,3.39335,0.0
0.79513,3.25043,0.0
0.1189,3.41932,0.0
0.24706,3.40667,0.0
0.55564,3.1588,0.0
0.44704,3.30172,0.0
1.08191,3.09246,0.0
0.91602,2.75632,0.0
0.35483,3.58029,0.0
0.64122,3.32082,0.0
1.40344,3.30385,0.0
0.7557,3.13821,0.0
0.33017,3.14978,0.0
0.68403,3.1319,0.0
0.95904,2.84438,0.0
1.09567,2.90593,0.0
1.28038,2.65427,0.0
1.38614,3.01537,0.0
1.66137,2.76255,0.0
1.08285,2.40027,0.0
0.6445,3.38872,0.0
1.45566,2.68001,0.0
1.47829,3.46552,0.0
0.06721,2.86458,0.0
1.37381,3.47593,0.0
0.28589,3.75097,0.0
0.38,3.17171,0.0
1.8929,2.96822,0.0
-0.64643,1.70786,0.0
-0.99606,1.65346,0.0
-0.39895,2.35405,0.0
-0.93007,3.25071,0.0
