LD1, LD2,class
3.268655,3.715169,0.0
3.080915,3.72475,0.0
2.918655,3.86931,0.0
4.530607,2.954212,0.0
3.660868,3.537867,0.0
3.693682,3.081467,0.0
3.974605,3.027352,0.0
5.495848,2.095952,0.0
4.493824,2.580684,0.0
2.608685,1.828798,0.0
3.875333,3.238234,0.0
3.342213,2.43948,0.0
3.097402,1.914453,0.0
2.680802,1.258503,0.0
2.055037,0.511018,0.0
3.289194,1.099054,0.0
2.108342,0.8909,0.0
2.642516,1.723407,0.0
2.465482,1.332544,0.0
2.242699,3.87024,0.0
0.998915,2.595443,0.0
1.169735,3.151301,0.0
1.181641,3.566481,0.0
0.466961,3.266728,0.0
0.717874,3.573756,0.0
0.498719,3.347847,0.0
0.024258,2.958119,0.0
0.363249,3.450002,0.0
0.623981,3.419415,0.0
0.060623,3.205531,0.0
1.023295,3.17282,0.0
-0.144287,3.444227,0.0
0.212128,2.85823,0.0
0.846355,3.381061,0.0
0.871732,3.335852,0.0
0.997862,3.547608,0.0
0.977068,2.766256,0.0
1.747936,2.601289,0.0
0.95171,2.900953,0.0
1.195804,2.830095,0.0
1.240196,3.041056,0.0
0.197497,2.560423,0.0
0.530954,2.641876,0.0
0.264187,2.920607,0.0
-0.043909,2.006433,0.0
0.311601,2.876342,0.0
-0.185122,2.695651,0.0
0.430478,2.834879,0.0
2.052329,2.152952,0.0
0.162156,3.140863,0.0
0.710218,2.971597,0.0
1.310375,2.5393,0.0
-0.173904,2.839021,0.0
3.38959,1.316698,0.0
2.522091,1.756495,0.0
1.690045,2.255929,0.0
2.928135,3.107963,0.0
1.639145,2.978778,0.0
2.211824,2.402393,0.0
3.880419,3.130682,0.0
4.252577,2.975678,0.0
3.879636,3.474812,0.0
3.5771,3.743222,0.0
4.420364,3.373911,0.0
3.326363,3.342411,0.0
3.406499,2.672827,0.0
6.148256,3.915107,0.0
4.992351,3.817351,0.0
3.030708,2.104084,0.0
3.681113,3.544189,0.0
4.171364,3.305285,0.0
2.956231,2.83323,0.0
2.391721,2.888807,0.0
2.56318,2.288321,0.0
3.518199,2.631044,0.0
4.867584,3.459047,0.0
2.89599,1.542567,0.0
3.507926,3.032192,0.0
3.121793,3.403772,0.0
3.077459,1.903166,0.0
3.865458,2.568312,0.0
2.288306,2.662875,0.0
3.12143,3.435668,0.0
2.884005,2.714354,0.0
2.661297,3.019071,0.0
3.151777,2.017266,0.0
4.559837,2.320348,0.0
3.385268,2.812441,0.0
3.167009,2.997849,0.0
3.105383,2.147867,0.0
2.823686,1.824331,0.0
2.303658,1.995073,0.0
2.683505,2.526993,0.0
3.066476,2.117151,0.0
2.087709,1.965747,0.0
2.438946,2.772594,0.0
2.908698,2.374588,0.0
2.957642,2.337018,0.0
3.222909,2.669251,0.0
3.09721,2.784857,0.0
3.24579,3.466526,0.0
2.244521,2.092171,0.0
3.442104,2.435046,0.0
4.175072,3.327285,0.0
4.157739,4.26647,0.0
3.289763,2.809308,0.0
3.561282,3.018212,0.0
4.769424,3.677058,0.0
4.489279,3.422088,0.0
4.467563,4.67747,0.0
4.089864,4.063725,0.0
3.261982,3.922121,0.0
3.241393,4.644164,0.0
4.270347,4.275715,0.0
6.170582,4.451918,0.0
5.79495,4.415522,0.0
3.156713,1.751494,0.0
4.490293,2.069888,0.0
3.134379,2.506861,0.0
2.416882,0.94274,0.0
